time_bucket,North,South,East,West,hour,day_of_week,target_North,target_South,target_East,target_West
0,3,3,3,3,0,0,3.0,3.0,3.0,3.0
60,3,1,4,4,0,0,2.0,1.0,4.0,5.0
120,3,3,3,2,0,0,2.0,3.0,2.0,2.0
180,1,3,3,3,0,0,3.0,3.0,2.0,3.0
240,3,1,4,4,0,0,3.0,3.0,4.0,4.0
300,2,2,3,3,0,0,3.0,3.0,2.0,1.0
360,3,3,3,3,0,0,3.0,3.0,3.0,3.0
420,2,2,3,4,0,0,4.0,4.0,3.0,5.0
480,3,3,1,2,0,0,3.0,3.0,0.0,1.0
540,4,4,3,4,0,0,1.0,3.0,0.0,2.0
600,2,2,3,3,0,0,2.0,3.0,4.0,4.0
660,4,3,3,3,0,0,2.0,2.0,0.0,1.0
720,3,3,3,3,0,0,3.0,3.0,3.0,3.0
780,2,2,3,3,0,0,3.0,3.0,4.0,4.0
840,2,3,3,4,0,0,2.0,2.0,2.0,1.0
900,4,2,3,4,0,0,2.0,2.0,0.0,3.0
960,2,2,3,3,0,0,4.0,4.0,5.0,5.0
1020,3,2,3,4,0,0,2.0,2.0,1.0,1.0
1080,2,3,3,2,0,0,3.0,2.0,2.0,3.0
1140,2,2,3,3,0,0,2.0,4.0,4.0,4.0
1200,3,4,4,4,0,0,3.0,3.0,3.0,1.0
1260,3,2,2,3,0,0,1.0,2.0,0.0,3.0
1320,2,2,3,3,0,0,2.0,2.0,4.0,5.0
1380,2,2,2,4,0,0,3.0,3.0,2.0,3.0
1440,3,3,3,3,0,0,2.0,3.0,0.0,2.0
1500,3,2,4,3,0,0,4.0,4.0,6.0,4.0
1560,2,3,3,4,0,0,3.0,3.0,3.0,0.0
1620,3,2,3,2,0,0,2.0,2.0,3.0,2.0
1680,3,3,4,5,0,0,2.0,3.0,4.0,4.0
1740,2,3,3,3,0,0,3.0,3.0,3.0,3.0
1800,3,3,3,3,0,0,3.0,3.0,2.0,3.0
1860,2,1,4,5,0,0,2.0,3.0,3.0,4.0
1920,2,3,2,2,0,0,3.0,3.0,3.0,0.0
1980,3,3,2,3,0,0,3.0,3.0,3.0,3.0
2040,3,3,4,4,0,0,2.0,3.0,3.0,3.0
2100,3,3,2,1,0,0,3.0,3.0,3.0,3.0
2160,3,3,3,3,0,0,3.0,3.0,1.0,4.0
2220,4,4,3,5,0,0,2.0,3.0,3.0,3.0
2280,3,3,0,1,0,0,3.0,3.0,3.0,0.0
2340,1,3,0,2,0,0,2.0,2.0,1.0,3.0
2400,2,3,4,4,0,0,1.0,1.0,2.0,2.0
2460,2,2,0,1,0,0,3.0,3.0,2.0,3.0
2520,3,3,3,3,0,0,3.0,4.0,3.0,2.0
2580,3,3,4,4,0,0,1.0,2.0,3.0,2.0
2640,2,2,2,1,0,0,3.0,3.0,2.0,1.0
2700,2,2,0,3,0,0,4.0,4.0,4.0,3.0
2760,4,4,5,5,0,0,2.0,2.0,2.0,2.0
2820,2,2,1,1,0,0,3.0,3.0,3.0,3.0
2880,3,2,2,3,0,0,4.0,3.0,3.0,4.0
2940,2,4,4,4,0,0,2.0,1.0,2.0,2.0
3000,3,3,3,1,0,0,2.0,3.0,3.0,4.0
3060,1,2,0,3,0,0,4.0,4.0,4.0,3.0
3120,2,2,4,5,0,0,2.0,2.0,2.0,2.0
3180,3,3,2,3,0,0,4.0,3.0,3.0,3.0
3240,2,3,0,2,0,0,5.0,4.0,4.0,4.0
3300,4,4,6,4,0,0,3.0,2.0,2.0,2.0
3360,3,3,3,0,0,0,3.0,2.0,2.0,4.0
3420,2,2,3,2,0,0,4.0,4.0,2.0,4.0
3480,2,3,4,4,0,0,3.0,2.0,2.0,2.0
3540,3,3,3,3,0,0,2.0,2.0,3.0,2.0
3600,3,3,2,3,1,0,4.0,5.0,3.0,4.0
3660,2,3,3,4,1,0,3.0,3.0,3.0,3.0
3720,3,3,3,0,1,0,2.0,3.0,0.0,3.0
3780,3,3,3,3,1,0,4.0,4.0,4.0,4.0
3840,2,3,3,3,1,0,2.0,2.0,3.0,3.0
3900,3,3,3,3,1,0,2.0,2.0,1.0,2.0
3960,3,3,1,4,1,0,3.0,3.0,2.0,3.0
4020,2,3,3,3,1,0,3.0,3.0,3.0,2.0
4080,3,3,3,0,1,0,3.0,2.0,3.0,2.0
4140,2,2,1,3,1,0,5.0,4.0,2.0,2.0
4200,1,1,2,2,1,0,3.0,2.0,3.0,3.0
4260,3,3,2,3,1,0,3.0,2.0,2.0,3.0
